#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:04:51 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b46cf1f93	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/65&tab:{VIII/65/nvss}&key:source=nvss&HTTPPRM:&&-ref=VIZ524b46cf1f93&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/65/nvss
#-order=I
#-out=NVSS
#-out=RAJ2000
#-out=DEJ2000
#-out=e_RAJ2000
#-out=e_DEJ2000
#-out=S1.4
#-sort=S1.4
#S1.4=> 1000
#-out=e_S1.4
#-out=polFlux
#-out=polPA
#-out=e_polFlux
#-out=e_polPA
#Image=Image
#

#RESOURCE=yCat_8065
#Name: VIII/65
#Title: 1.4GHz NRAO VLA Sky Survey (NVSS) (Condon+ 1998)
#Table	VIII_65_nvss:
#Name: VIII/65/nvss
#Title: The NVSS Catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	NVSS	(a14)	Source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(F4.1)	Mean error on Dec	[ucd=stat.error;pos.eq.dec]
#Column	S1.4	(F8.1)	Integrated 1.4GHz flux density of radio source	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F7.1)	Mean error on S1.4	[ucd=stat.error]
#Column	polFlux	(F6.2)	? Integrated linearly polarized flux density	[ucd=phot.flux.density]
#Column	polPA	(F5.1)	[-90,90]? The position angle of polFlux (4)	[ucd=pos.posAng;phys.polarization]
#Column	e_polFlux	(F5.2)	? Mean error on polFlux	[ucd=stat.error]
#Column	e_polPA	(F4.1)	? Mean error on polPA	[ucd=stat.error]
_RAJ2000|_DEJ2000|NVSS|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|S1.4|e_S1.4|polFlux|polPA|e_polFlux|e_polPA
037.31108|+77.72133|022914+774316 |02 29 14.66|+77 43 16.8| 0.14| 0.6|  2682.1|   80.5|  1.41| 60.3| 0.43| 6.1
230.02292|+20.26825|152005+201605 |15 20 05.50|+20 16 05.7| 0.03| 0.6|  2688.0|   80.6|  2.68| 59.8| 0.45| 3.2
258.69925|-25.24328|171447-251435 |17 14 47.82|-25 14 35.8| 0.03| 0.6|  2690.6|   80.7| 13.77|-44.4| 0.70| 1.0
175.28429| +1.23825|114108+011417 |11 41 08.23|+01 14 17.7| 0.03| 0.6|  2690.8|   80.7|  4.56|-51.1| 0.49| 2.0
228.21058| -9.10025|151250-090600 |15 12 50.54|-09 06 00.9| 0.03| 0.6|  2700.9|   81.0| 92.90| 50.8| 0.47| 0.1
187.64871|+12.32172|123035+121918 |12 30 35.69|+12 19 18.2| 0.03| 0.6|  2705.3|   82.2|703.40|-34.7|20.03| 0.1
343.76583|+13.22597|225503+131333 |22 55 03.80|+13 13 33.5| 0.03| 0.6|  2706.3|   81.2| 55.82| -7.5| 0.45| 0.2
276.90971|-11.94483|182738-115641 |18 27 38.33|-11 56 41.4| 0.03| 0.6|  2708.2|   98.0|  3.27| 41.0| 1.03| 4.5
160.41254| +2.70917|104139+024233 |10 41 39.01|+02 42 33.0| 0.03| 0.6|  2710.1|   81.3| 11.04| 19.4| 0.43| 0.8
226.77000|-16.87506|150704-165230 |15 07 04.80|-16 52 30.2| 0.03| 0.6|  2711.0|   81.3|  7.25| 27.6| 0.46| 1.2
287.79037|-20.11542|191109-200655 |19 11 09.69|-20 06 55.5| 0.03| 0.6|  2713.8|   81.4| 37.36|-65.7| 0.54| 0.3
119.61917|+37.78717|075828+374713 |07 58 28.60|+37 47 13.8| 0.04| 0.6|  2717.9|   84.0| 99.89|-49.2| 6.68| 0.3
345.59979|-37.30181|230223-371806 |23 02 23.95|-37 18 06.5| 0.04| 0.6|  2719.8|   81.6|  5.64| 83.7| 0.47| 1.6
245.99808|-11.67864|162359-114043 |16 23 59.54|-11 40 43.1| 0.03| 0.6|  2725.6|   96.2|  5.00| 13.8| 0.54| 2.1
065.81583| -1.34233|042315-012032 |04 23 15.80|-01 20 32.4| 0.03| 0.6|  2725.8|   81.8| 33.80| 72.7| 0.45| 0.3
248.81462|+38.13467|163515+380804 |16 35 15.51|+38 08 04.8| 0.04| 0.6|  2726.0|   81.8| 27.82| 59.7| 0.46| 0.3
314.01808|-19.94317|205604-195635 |20 56 04.34|-19 56 35.4| 0.03| 0.6|  2726.2|   89.7|  1.59| -1.0| 0.74| 7.0
083.16254| +7.54542|053239+073243 |05 32 39.01|+07 32 43.5| 0.03| 0.6|  2728.7|   81.9| 11.87| 11.9| 0.52| 0.9
316.85792|-25.42103|210725-252515 |21 07 25.90|-25 25 15.7| 0.03| 0.6|  2732.6|   97.9| 39.19| 46.6| 0.93| 0.3
120.38967|+14.24506|080133+141442 |08 01 33.52|+14 14 42.2| 0.03| 0.6|  2734.1|   82.0|  2.24| 89.3| 0.40| 3.5
274.47162|-11.72392|181753-114326 |18 17 53.19|-11 43 26.1| 0.03| 0.6|  2738.9|   84.6| -0.78|     | 9.06|
025.28804|+13.89119|014109+135328 |01 41 09.13|+13 53 28.3| 0.03| 0.6|  2740.2|   82.2|  6.18|-37.9| 0.42| 1.3
259.86292|-37.18103|171927-371051 |17 19 27.10|-37 10 51.7| 0.04| 0.6|  2740.6|   91.8|  3.97|-41.0| 0.72| 3.0
298.05450| +2.50731|195213+023026 |19 52 13.08|+02 30 26.3| 0.03| 0.6|  2741.0|  101.7|109.94|-68.0| 0.80| 0.1
286.87296| +7.13186|190729+070754 |19 07 29.51|+07 07 54.7| 0.03| 0.6|  2741.4|   87.5|  2.75|-60.4| 4.57|11.6
267.01762|-28.41931|174804-282509 |17 48 04.23|-28 25 09.5| 0.04| 0.6|  2742.3|   82.9|  5.43|-76.3|40.10|16.7
092.42083|-15.71125|060941-154240 |06 09 41.00|-15 42 40.5| 0.03| 0.6|  2742.4|   82.3| 36.26|-21.9| 0.44| 0.2
115.00392|-36.40542|074000-362419 |07 40 00.94|-36 24 19.5| 0.04| 0.6|  2749.5|   97.1|  5.94| 33.1| 0.50| 1.6
030.48829|-11.54258|020157-113233 |02 01 57.19|-11 32 33.3| 0.03| 0.6|  2753.0|   82.6| 96.78| 38.1| 0.42| 0.1
183.87417|+53.59836|121529+533554 |12 15 29.80|+53 35 54.1| 0.05| 0.6|  2755.0|   89.3| 52.46|-81.7| 0.76| 0.2
145.90358| -8.32556|094336-081932 |09 43 36.86|-08 19 32.0| 0.03| 0.6|  2756.2|   97.3|  2.59| 59.9| 0.48| 3.5
122.21933|-10.47267|080852-102821 |08 08 52.64|-10 28 21.6| 0.03| 0.6|  2758.7|   98.2|112.99|-78.1| 0.91| 0.1
112.57979|-11.68675|073019-114112 |07 30 19.15|-11 41 12.3| 0.03| 0.6|  2759.9|   82.8| 54.44|-44.2| 0.48| 0.2
273.52192|-17.47575|181405-172832 |18 14 05.26|-17 28 32.7| 0.03| 0.6|  2761.8|   85.2| 12.74|  4.6| 8.43| 3.3
033.89742|-12.99153|021535-125929 |02 15 35.38|-12 59 29.5| 0.03| 0.6|  2764.1|   97.4|135.48|-51.3| 0.44| 0.1
107.32392|+74.82367|070917+744925 |07 09 17.74|+74 49 25.2| 0.11| 0.6|  2767.6|   86.9| 76.49|-22.7| 1.17| 0.2
306.78771|+39.43528|202709+392607 |20 27 09.05|+39 26 07.0| 0.04| 0.6|  2768.4|   83.8|  7.31| 78.6|35.55|12.5
262.62937|-34.70814|173031-344229 |17 30 31.05|-34 42 29.3| 0.04| 0.6|  2771.3|   85.3|  8.29| 70.2| 8.72| 5.0
090.96483|+21.99375|060351+215937 |06 03 51.56|+21 59 37.5| 0.03| 0.6|  2771.6|   83.1| 22.92|-59.1| 0.55| 0.5
177.68283| -0.39842|115043-002354 |11 50 43.88|-00 23 54.3| 0.03| 0.6|  2773.9|   97.8|127.96|-30.1| 0.49| 0.1
064.01804|-20.94108|041604-205627 |04 16 04.33|-20 56 27.9| 0.03| 0.6|  2778.2|   83.3| 31.84| 83.3| 0.43| 0.3
269.67367|-16.27919|175841-161645 |17 58 41.68|-16 16 45.1| 0.03| 0.6|  2782.4|   97.1| 53.98| 71.3| 0.77| 0.3
319.15125|-20.93108|211636-205551 |21 16 36.30|-20 55 51.9| 0.03| 0.6|  2791.6|   91.8|231.05| 20.1| 0.73| 0.0
050.83463| +5.56997|032320+053411 |03 23 20.31|+05 34 11.9| 0.03| 0.6|  2793.8|   83.8|  0.48|  4.0| 0.45|18.1
237.05404|-12.22550|154812-121331 |15 48 12.97|-12 13 31.8| 0.03| 0.6|  2795.0|   83.9|  3.28| 42.3| 0.48| 2.8
266.15600|-28.77489|174437-284629 |17 44 37.44|-28 46 29.6| 0.03| 0.6|  2795.5|   84.4| 13.16|  4.1|44.78| 7.7
343.72479|+57.94433|225453+575639 |22 54 53.95|+57 56 39.6| 0.06| 0.6|  2796.2|   83.9| 17.08| 87.4| 0.56| 0.6
219.23779| +3.40342|143657+032412 |14 36 57.07|+03 24 12.3| 0.03| 0.6|  2797.3|   83.9| 19.13| 19.9| 0.45| 0.5
165.51629| -1.27175|110203-011618 |11 02 03.91|-01 16 18.3| 0.03| 0.6|  2799.6|   96.2|124.20| 80.9| 0.52| 0.1
055.87492| +4.96403|034329+045750 |03 43 29.98|+04 57 50.5| 0.03| 0.6|  2808.2|   94.1| 47.30|-12.2| 0.62| 0.2
333.15821| +1.88103|221237+015251 |22 12 37.97|+01 52 51.7| 0.03| 0.6|  2809.8|   84.3|  6.22|-50.0| 0.45| 1.4
051.99587| +2.56997|032759+023411 |03 27 59.01|+02 34 11.9| 0.03| 0.6|  2810.1|   87.4|142.59|-38.0| 5.10| 0.2
350.82025|+59.35147|232316+592105 |23 23 16.86|+59 21 05.3| 0.06| 0.6|  2811.3|   85.0| 88.28|-86.7|52.28| 1.3
354.59342|+27.04272|233822+270233 |23 38 22.42|+27 02 33.8| 0.03| 0.6|  2812.3|   90.2| 39.82|-51.8| 2.75| 0.5
280.42562| -1.87961|184142-015246 |18 41 42.15|-01 52 46.6| 0.03| 0.6|  2815.3|   89.5|  5.60|-21.0| 5.93| 6.8
330.83675|+62.67606|220320+624033 |22 03 20.82|+62 40 33.8| 0.07| 0.6|  2817.0|   84.5| 88.95|-36.6| 0.57| 0.1
311.40779|+44.25078|204537+441502 |20 45 37.87|+44 15 02.8| 0.04| 0.6|  2824.3|   91.1|  7.07| 45.2| 2.74| 3.3
274.47479|-11.74617|181753-114446 |18 17 53.95|-11 44 46.2| 0.03| 0.6|  2828.2|   87.6| -0.43|     | 8.24|
186.26962|+12.89519|122504+125342 |12 25 04.71|+12 53 42.7| 0.03| 0.6|  2834.9|   96.5|167.88|-82.7| 1.57| 0.1
185.14117|+33.71969|122033+334310 |12 20 33.88|+33 43 10.9| 0.04| 0.6|  2845.9|   85.4|160.33|-80.9| 0.44| 0.1
063.32358|+74.85175|041317+745106 |04 13 17.66|+74 51 06.3| 0.11| 0.6|  2846.5|  100.4|  3.36| 35.8| 0.49| 2.7
304.30421|+33.76294|201713+334546 |20 17 13.01|+33 45 46.6| 0.04| 0.6|  2852.6|   99.1| 13.15|-63.4| 0.63| 0.9
275.23096|-15.92481|182055-155529 |18 20 55.43|-15 55 29.3| 0.03| 0.6|  2862.0|   86.5| 39.52|-71.7|41.09| 2.3
328.01575|-28.47472|215203-282829 |21 52 03.78|-28 28 29.0| 0.03| 0.6|  2865.3|   86.0| 76.39| 31.7| 0.47| 0.1
231.74771|-13.85019|152659-135100 |15 26 59.45|-13 51 00.7| 0.03| 0.6|  2865.5|  100.8|  6.31| 30.6| 0.50| 1.5
121.40683|+24.16025|080537+240936 |08 05 37.64|+24 09 36.9| 0.03| 0.6|  2866.2|   92.5|186.42|-38.2| 2.55| 0.1
099.13767|-20.70933|063633-204233 |06 36 33.04|-20 42 33.6| 0.03| 0.6|  2866.9|  108.0|433.62| 68.0| 0.65| 0.0
073.34725|+31.49006|045323+312924 |04 53 23.34|+31 29 24.2| 0.04| 0.6|  2868.0|  101.1| 29.97|-32.0| 0.52| 0.3
094.15000|-34.93825|061636-345617 |06 16 36.00|-34 56 17.7| 0.04| 0.6|  2872.3|   86.2|  0.73| 42.3| 0.47|12.2
164.74454|+43.02325|105858+430123 |10 58 58.69|+43 01 23.7| 0.04| 0.6|  2875.1|   86.3|119.91| 67.3| 0.39| 0.1
284.84750|+12.98689|185923+125912 |18 59 23.40|+12 59 12.8| 0.03| 0.6|  2875.9|   86.3| 16.50| 29.5| 0.53| 0.6
348.47042|+61.51714|231352+613101 |23 13 52.90|+61 31 01.7| 0.07| 0.6|  2876.3|   86.9| 15.49| 64.3|45.24| 6.6
330.81217|+31.76075|220314+314538 |22 03 14.92|+31 45 38.7| 0.04| 0.6|  2878.4|   98.5| 21.73| 38.8| 0.55| 0.4
305.02612|+29.70583|202006+294221 |20 20 06.27|+29 42 21.0| 0.03| 0.6|  2880.1|   93.8| 37.70|-53.1| 0.93| 0.4
141.76267|+39.03908|092703+390220 |09 27 03.04|+39 02 20.7| 0.04| 0.6|  2884.6|   86.5| 11.79| 56.3| 0.43| 0.7
022.12608|+29.04994|012830+290259 |01 28 30.26|+29 02 59.8| 0.03| 0.6|  2889.8|   97.0| 72.22| 65.1| 0.58| 0.1
232.96129|+24.04536|153150+240243 |15 31 50.71|+24 02 43.3| 0.03| 0.6|  2892.3|  101.7|236.66| 32.6| 0.45| 0.0
036.54308|+34.35844|022610+342130 |02 26 10.34|+34 21 30.4| 0.04| 0.6|  2894.4|   86.8|  7.39| 62.8| 0.44| 1.1
351.14958|+59.21722|232435+591302 |23 24 35.90|+59 13 02.0| 0.06| 0.6|  2895.2|   87.5| 58.40|-18.6|52.29| 2.0
190.99012|+16.38131|124357+162252 |12 43 57.63|+16 22 52.7| 0.03| 0.6|  2895.8|  101.8| 64.87|-74.8| 0.47| 0.1
270.75550|-21.80228|180301-214808 |18 03 01.32|-21 48 08.2| 0.03| 0.6|  2895.9|  107.2|  5.43| -6.3| 0.89| 2.5
276.23892|-32.71656|182457-324259 |18 24 57.34|-32 42 59.6| 0.04| 0.6|  2898.1|  101.4| 38.00| -7.6| 0.74| 0.4
135.57021|-14.25844|090216-141530 |09 02 16.85|-14 15 30.4| 0.03| 0.6|  2898.1|   86.9| 92.50|-73.4| 0.46| 0.1
297.32112|+26.85461|194917+265116 |19 49 17.07|+26 51 16.6| 0.03| 0.6|  2900.4|   87.6| -3.13|     |39.97|
266.94008|-29.18347|174745-291100 |17 47 45.62|-29 11 00.5| 0.04| 0.6|  2905.2|   87.8|  2.70| 18.0|40.12|33.5
266.19612|-28.80281|174447-284810 |17 44 47.07|-28 48 10.1| 0.03| 0.6|  2906.0|   87.8| 19.88|-31.4|44.79| 5.1
091.64021|-20.36700|060633-202201 |06 06 33.65|-20 22 01.2| 0.03| 0.6|  2918.7|   87.6| 11.78|-51.7| 0.47| 0.8
006.12550|-29.48025|002430-292848 |00 24 30.12|-29 28 48.9| 0.03| 0.6|  2922.8|   95.0| 54.08|-28.1| 0.81| 0.2
064.56571|+38.01386|041815+380049 |04 18 15.77|+38 00 49.9| 0.04| 0.6|  2923.7|  103.2|193.77| 77.4| 0.48| 0.0
193.54867|+27.62575|125411+273732 |12 54 11.68|+27 37 32.7| 0.03| 0.6|  2923.9|   97.7| 54.31| 14.3| 0.61| 0.2
277.81183|+29.11950|183114+290710 |18 31 14.84|+29 07 10.2| 0.03| 0.6|  2924.3|   87.7|  7.23| 37.6| 0.47| 1.3
073.84046|-21.99858|045521-215954 |04 55 21.71|-21 59 54.9| 0.03| 0.6|  2927.9|   89.5|223.90| 20.4|10.28| 0.2
281.59446| -2.99528|184622-025943 |18 46 22.67|-02 59 43.0| 0.03| 0.6|  2928.4|   98.4|  7.01|-66.9| 2.10| 3.0
058.13350| -7.18456|035232-071104 |03 52 32.04|-07 11 04.4| 0.03| 0.6|  2929.3|  111.9|312.75| 65.5| 0.62| 0.0
326.85421|+15.34464|214725+152040 |21 47 25.01|+15 20 40.7| 0.03| 0.6|  2933.6|   95.7|121.14|  7.0| 0.75| 0.1
341.48871|+39.69244|224557+394132 |22 45 57.29|+39 41 32.8| 0.04| 0.6|  2934.4|   99.1| 35.63| -3.7| 1.60| 0.5
225.39508|-39.31014|150134-391836 |15 01 34.82|-39 18 36.5| 0.04| 0.6|  2937.7|  103.5|  4.59| 12.3| 0.58| 2.4
061.95183|-12.19261|040748-121133 |04 07 48.44|-12 11 33.4| 0.03| 0.6|  2940.2|   98.4| 33.72|-24.6| 0.60| 0.3
022.49912|+23.63872|012959+233819 |01 29 59.79|+23 38 19.4| 0.03| 0.6|  2940.9|   88.2|  4.86| 36.4| 0.42| 1.6
017.23321|+13.37239|010855+132220 |01 08 55.97|+13 22 20.6| 0.03| 0.6|  2943.8|  102.5| 97.30| 67.4| 0.48| 0.1
283.33604| +1.24797|185320+011452 |18 53 20.65|+01 14 52.7| 0.03| 0.6|  2948.5|   98.3|  5.26|-88.3| 2.52| 4.5
144.84762|+83.25728|093923+831526 |09 39 23.43|+83 15 26.2| 0.26| 0.6|  2952.2|   88.6|  4.52| 81.0| 0.42| 1.8
204.53362| -6.45311|133808-062711 |13 38 08.07|-06 27 11.2| 0.03| 0.6|  2958.5|   88.8| 66.13|-41.2| 0.48| 0.1
091.06096|-31.93239|060414-315556 |06 04 14.63|-31 55 56.6| 0.04| 0.6|  2959.6|  104.3| 29.66| 10.4| 0.49| 0.3
152.75150| +6.41117|101100+062440 |10 11 00.36|+06 24 40.2| 0.03| 0.6|  2964.2|   88.9| 29.10| 10.9| 0.46| 0.3
288.98642|+30.33136|191556+301952 |19 15 56.74|+30 19 52.9| 0.03| 0.6|  2972.4|   92.3|277.72| 60.0| 1.57| 0.1
113.94100|-17.59675|073545-173548 |07 35 45.84|-17 35 48.3| 0.03| 0.6|  2974.8|  104.8|  3.70|  0.7| 0.47| 2.4
179.07808|+31.46806|115618+312805 |11 56 18.74|+31 28 05.0| 0.04| 0.6|  2978.3|   89.4|  3.68| 81.9| 0.43| 2.3
305.42333|+37.43114|202141+372552 |20 21 41.60|+37 25 52.1| 0.04| 0.6|  2980.6|  110.2|  8.32|  2.6| 0.90| 1.7
240.53029|+33.44808|160207+332653 |16 02 07.27|+33 26 53.1| 0.04| 0.6|  2990.6|   89.7|  1.21|-34.0| 0.43| 6.8
007.43796|+63.97819|002945+635841 |00 29 45.11|+63 58 41.5| 0.07| 0.6|  2991.8|  105.5| 12.92| 81.5| 0.56| 0.8
011.88804|-25.28808|004733-251717 |00 47 33.13|-25 17 17.1| 0.03| 0.6|  2993.8|  113.5|  2.28| 51.8| 0.60| 4.3
290.10362|+13.92042|192024+135513 |19 20 24.87|+13 55 13.5| 0.03| 0.6|  2995.6|   92.4| -0.93|     | 9.43|
282.35700| -0.90172|184925-005406 |18 49 25.68|-00 54 06.2| 0.03| 0.6|  3002.8|   91.5| 11.09|-70.2|17.25| 5.6
222.34058|+63.27053|144921+631613 |14 49 21.74|+63 16 13.9| 0.07| 0.6|  3006.0|   90.2|  8.03| 11.9| 0.42| 1.0
005.60592| +0.24894|002225+001456 |00 22 25.42|+00 14 56.2| 0.03| 0.6|  3009.2|   90.3|  2.83| 65.8| 0.49| 3.2
247.22208|+44.31811|162853+441905 |16 28 53.30|+44 19 05.2| 0.04| 0.6|  3018.7|   99.9|120.42|-12.4| 0.61| 0.1
329.52625|-15.01919|215806-150109 |21 58 06.30|-15 01 09.1| 0.03| 0.6|  3020.8|   90.6|122.22|-69.2| 0.42| 0.1
036.05112|+27.83653|022412+275011 |02 24 12.27|+27 50 11.5| 0.03| 0.6|  3024.2|   90.7| 16.96| 59.3| 0.44| 0.5
281.62033| -2.98311|184628-025859 |18 46 28.88|-02 58 59.2| 0.03| 0.6|  3035.0|   94.4| 11.24|-65.4| 6.50| 3.3
279.53412| -6.76633|183808-064558 |18 38 08.19|-06 45 58.8| 0.03| 0.6|  3043.7|  110.4|  6.84| 55.7| 0.99| 2.1
280.35183| -1.88194|184124-015255 |18 41 24.44|-01 52 55.0| 0.03| 0.6|  3050.5|   98.8|  6.66|-40.9| 4.22| 4.8
281.54096| -2.69303|184609-024134 |18 46 09.83|-02 41 34.9| 0.03| 0.6|  3056.6|  100.6|  1.71| 20.8| 2.29|13.0
256.17929|+60.74711|170443+604449 |17 04 43.03|+60 44 49.6| 0.06| 0.6|  3074.7|  117.7| 15.63| 35.2| 0.53| 0.6
149.40908|+55.38261|095738+552257 |09 57 38.18|+55 22 57.4| 0.05| 0.6|  3079.2|   92.4| 33.35| 19.5| 0.41| 0.2
174.99417|+65.79642|113958+654747 |11 39 58.60|+65 47 47.1| 0.07| 0.6|  3095.1|  102.6| 73.80| 79.3| 0.63| 0.1
300.44837|+33.52783|200147+333140 |20 01 47.61|+33 31 40.2| 0.04| 0.6|  3100.1|  106.2| 40.91| 70.5| 1.53| 0.4
035.92954|+40.01472|022343+400053 |02 23 43.09|+40 00 53.0| 0.04| 0.6|  3108.5|  109.3| 24.70|-56.6| 0.45| 0.3
146.94696| +7.42050|094747+072513 |09 47 47.27|+07 25 13.8| 0.03| 0.6|  3109.1|   99.9|320.17| 77.9| 2.67| 0.1
273.58167|-17.93808|181419-175617 |18 14 19.60|-17 56 17.1| 0.03| 0.6|  3109.2|  100.8|  6.25| 31.1| 2.97| 4.0
060.81421|+51.32356|040315+511924 |04 03 15.41|+51 19 24.8| 0.05| 0.6|  3115.5|   95.1|  2.09| 28.1|14.44|25.6
076.17983|+38.08411|050443+380502 |05 04 43.16|+38 05 02.8| 0.04| 0.6|  3122.2|  105.3|290.58| 45.8| 0.78| 0.0
168.66012|+40.62244|111438+403720 |11 14 38.43|+40 37 20.8| 0.04| 0.6|  3127.9|  109.5| 47.72| 75.3| 0.49| 0.2
175.85433|+22.11556|114325+220656 |11 43 25.04|+22 06 56.0| 0.03| 0.6|  3128.7|   93.9| 32.21|-40.5| 0.42| 0.2
215.27387|+41.74714|142105+414449 |14 21 05.73|+41 44 49.7| 0.04| 0.6|  3146.9|  111.2|  8.82| 73.3| 0.47| 1.0
147.99512| -0.02411|095158-000126 |09 51 58.83|-00 01 26.8| 0.03| 0.6|  3152.1|   94.6| 18.05| 21.6| 0.46| 0.5
217.13008| -1.40242|142831-012408 |14 28 31.22|-01 24 08.7| 0.03| 0.6|  3157.4|   94.7|  7.97|-89.1| 0.45| 1.1
290.88417|-21.07603|192332-210433 |19 23 32.20|-21 04 33.7| 0.03| 0.6|  3166.7|   95.0| 49.65|-24.2| 0.51| 0.2
186.26575|+12.87644|122503+125235 |12 25 03.78|+12 52 35.2| 0.03| 0.6|  3177.9|  108.3|236.45| -4.3| 1.64| 0.1
275.83146|-27.44100|182319-272627 |18 23 19.55|-27 26 27.6| 0.03| 0.6|  3194.6|   95.8| 62.06| 39.9| 0.71| 0.2
226.24575|+25.99694|150458+255949 |15 04 58.98|+25 59 49.0| 0.03| 0.6|  3201.6|   98.7| 13.59|-34.3| 6.28| 2.3
014.39229| -1.38289|005734-012258 |00 57 34.15|-01 22 58.4| 0.03| 0.6|  3201.6|  108.4|615.34|-10.3| 1.37| 0.0
285.73312|+31.99506|190255+315942 |19 02 55.95|+31 59 42.2| 0.04| 0.6|  3203.8|   96.1| 33.46|-78.0| 0.47| 0.3
341.41537|+39.68175|224539+394054 |22 45 39.69|+39 40 54.3| 0.04| 0.6|  3214.1|  108.3| 12.87|-84.0| 1.64| 1.3
035.84021|+42.99219|022321+425931 |02 23 21.65|+42 59 31.9| 0.04| 0.6|  3216.5|   98.2| 80.32| 15.7|11.07| 0.5
164.62342| +1.56617|105829+013358 |10 58 29.62|+01 33 58.2| 0.03| 0.6|  3220.2|   96.6| 54.83|  9.0| 0.48| 0.2
010.22921|+33.16869|004055+331007 |00 40 55.01|+33 10 07.3| 0.04| 0.6|  3223.4|   96.7|  5.16|-53.0| 0.45| 1.7
082.87208| +6.50761|053129+063027 |05 31 29.30|+06 30 27.4| 0.03| 0.6|  3232.9|  104.4| 57.68| 68.3| 1.04| 0.3
151.50725|+34.90289|100601+345410 |10 06 01.74|+34 54 10.4| 0.04| 0.6|  3236.6|   97.1|  7.04| 72.5| 0.41| 1.2
062.01883|+42.99917|040804+425957 |04 08 04.52|+42 59 57.0| 0.04| 0.6|  3242.0|  110.5| 67.64|-53.4| 0.56| 0.1
215.75337|+19.58967|142300+193522 |14 23 00.81|+19 35 22.8| 0.03| 0.6|  3247.0|  121.0| 25.56|-56.2| 0.64| 0.4
281.90354| -1.94247|184736-015632 |18 47 36.85|-01 56 32.9| 0.03| 0.6|  3257.9|  101.1|  6.21| 66.2| 2.13| 3.7
071.15104|-28.15619|044436-280922 |04 44 36.25|-28 09 22.3| 0.03| 0.6|  3262.9|  108.0|194.62|-43.0| 0.71| 0.1
061.85600| +3.67981|040725+034047 |04 07 25.44|+03 40 47.3| 0.03| 0.6|  3266.9|   98.0| 43.66| 81.7| 0.49| 0.2
062.78942|+51.16294|041109+510946 |04 11 09.46|+51 09 46.6| 0.05| 0.6|  3268.0|   98.7| -0.11|     |36.17|
300.44683|+33.54917|200147+333257 |20 01 47.24|+33 32 57.0| 0.04| 0.6|  3300.9|  114.6| 44.58| 71.7| 1.46| 0.4
160.68558|+12.05883|104244+120331 |10 42 44.54|+12 03 31.8| 0.03| 0.6|  3305.7|   99.2|184.21|-83.1| 0.45| 0.0
273.64992|-16.75853|181435-164530 |18 14 35.98|-16 45 30.7| 0.03| 0.6|  3307.9|  120.0|  2.81| 10.4| 1.02| 5.3
284.05029| +7.89453|185612+075340 |18 56 12.07|+07 53 40.3| 0.03| 0.6|  3313.7|  103.0| 16.18|-80.2| 6.49| 2.3
140.29992|+45.66550|092111+453955 |09 21 11.98|+45 39 55.8| 0.04| 0.6|  3314.5|  118.8| 44.13| 11.9| 0.80| 0.3
328.96879|+38.00814|215552+380029b|21 55 52.51|+38 00 29.3| 0.04| 0.6|  3322.8|   99.7| 19.46|-83.3| 0.46| 0.5
285.45779| +1.21172|190149+011242 |19 01 49.87|+01 12 42.2| 0.03| 0.6|  3331.4|  103.4| 21.20|-36.2| 9.27| 2.2
054.43087|+50.76458|033743+504552 |03 37 43.41|+50 45 52.5| 0.05| 0.6|  3335.0|  116.8|132.41| 46.1| 0.61| 0.1
145.56396|+13.76378|094215+134549 |09 42 15.35|+13 45 49.6| 0.03| 0.6|  3336.4|  100.1| 36.99| 51.8| 0.43| 0.2
278.68808| -8.56286|183445-083346 |18 34 45.14|-08 33 46.3| 0.03| 0.6|  3336.6|  102.5|  7.62| 20.2|11.64| 6.5
